Ticker,Rows,Start,End,Columns
AGCO,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
ALLE,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
ALNY,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
AVB,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
BR,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
BURL,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
BWXT,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
CALM,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
CBOE,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
CMI,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
DGX,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
DOV,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
EWBC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
EXR,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
FAF,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
FVRR,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
GGG,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
HIW,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
HOPE,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
HXL,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
IAC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
IT,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
ITW,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
JBHT,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
KLAC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
KMT,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
LAZ,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
LOGI,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
LPLA,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MAA,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MCK,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MCO,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MLI,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MSI,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
MTB,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
NOC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
NSA,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
NTES,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
PAYC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
PNW,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
PWR,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
REG,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
REGN,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
ROK,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
ROP,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
RPM,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
SBAC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
SF,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
SLG,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
SMG,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
SSB,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
TRIN,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
TXRH,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
UBSI,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
VMC,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
VRSN,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
WAB,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
WAL,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
WERN,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
YELP,323,2025-01-02,2026-04-17,"Adj Close, Close, High, Low, Open, Volume"
