Ticker,Rows,Start,End,Duplicate_Dates,Non_Positive_Prices,Negative_Volume,High_Less_Than_Low,Open_Outside_Range,Close_Outside_Range,Issue_Count,Missing_Date,Missing_Adj_Close,Missing_Close,Missing_High,Missing_Low,Missing_Open,Missing_Volume
AGCO,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLE,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNY,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVB,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURL,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWXT,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALM,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBOE,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMI,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGX,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOV,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWBC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXR,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAF,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FVRR,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGG,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIW,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOPE,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HXL,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITW,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JBHT,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLAC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMT,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAZ,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOGI,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPLA,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAA,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCK,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSI,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTB,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSA,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTES,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNW,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWR,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REG,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGN,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROK,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROP,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPM,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBAC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLG,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMG,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSB,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIN,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXRH,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBSI,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMC,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRSN,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAB,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAL,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WERN,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YELP,323,2025-01-02,2026-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
