Ticker,Sector,Mapping_Status
AGCO,Industrial,Mapped
ALLE,Industrial,Mapped
ALNY,Healthcare,Mapped
AVB,Real Estate,Mapped
BR,Financial,Mapped
BURL,Consumer,Mapped
BWXT,Industrial,Mapped
CALM,Consumer,Mapped
CBOE,Financial,Mapped
CMI,Industrial,Mapped
DGX,Healthcare,Mapped
DOV,Industrial,Mapped
EWBC,Financial,Mapped
EXR,Real Estate,Mapped
FAF,Financial,Mapped
FVRR,Consumer,Mapped
GGG,Industrial,Mapped
HIW,Real Estate,Mapped
HOPE,Financial,Mapped
HXL,Industrial,Mapped
IAC,Consumer,Mapped
IT,Technology,Mapped
ITW,Industrial,Mapped
JBHT,Industrial,Mapped
KLAC,Technology,Mapped
KMT,Industrial,Mapped
LAZ,Financial,Mapped
LOGI,Technology,Mapped
LPLA,Financial,Mapped
MAA,Real Estate,Mapped
MCK,Healthcare,Mapped
MCO,Financial,Mapped
MLI,Industrial,Mapped
MSI,Technology,Mapped
MTB,Financial,Mapped
NOC,Industrial,Mapped
NSA,Financial,Mapped
NTES,Technology,Mapped
PAYC,Technology,Mapped
PNW,Industrial,Mapped
PWR,Industrial,Mapped
REG,Real Estate,Mapped
REGN,Healthcare,Mapped
ROK,Industrial,Mapped
ROP,Technology,Mapped
RPM,Industrial,Mapped
SBAC,Technology,Mapped
SF,Financial,Mapped
SLG,Real Estate,Mapped
SMG,Consumer,Mapped
SSB,Financial,Mapped
TRIN,Financial,Mapped
TXRH,Consumer,Mapped
UBSI,Financial,Mapped
VMC,Industrial,Mapped
VRSN,Technology,Mapped
WAB,Industrial,Mapped
WAL,Financial,Mapped
WERN,Industrial,Mapped
YELP,Technology,Mapped
