,AGCO,ALLE,ALNY,AVB,BR,BURL,BWXT,CALM,CBOE,CMI,DGX,DOV,EWBC,EXR,FAF,FVRR,GGG,HIW,HOPE,HXL,IAC,IT,ITW,JBHT,KLAC,KMT,LAZ,LOGI,LPLA,MAA,MCK,MCO,MLI,MSI,MTB,NOC,NSA,NTES,PAYC,PNW,PWR,REG,REGN,ROK,ROP,RPM,SBAC,SF,SLG,SMG,SSB,TRIN,TXRH,UBSI,VMC,VRSN,WAB,WAL,WERN,YELP
AGCO,1.0,0.5093710514539117,0.17408390009410626,0.33617488670498186,0.10115605321610685,0.3186683246037307,0.2434890371126365,0.1305052173835139,-0.09206528079102089,0.5506197873789945,0.20124390125432745,0.5878597831445813,0.4927254448858895,0.3070479892232351,0.33282473769459187,0.1908531173022414,0.6670554475856576,0.3736698320076386,0.4406387007711121,0.471552110188536,0.40859168801903817,0.18097923989209277,0.6673728731905462,0.5030336254620201,0.34108350903851953,0.567627761836838,0.4786275267107783,0.4807099772725534,0.2581973397032254,0.29150242702659274,0.019167686032733732,0.26942050174344184,0.42602312872261194,0.2149393595938796,0.49431785767505215,0.11395706458814449,0.27379462295769375,0.18408697960824819,0.2600923063803221,0.1721967039085511,0.26538705458533457,0.3228905031366656,0.2791853093216659,0.4556338823785394,0.2109844898958781,0.5115965128686644,0.05096956266876492,0.46048868447989083,0.4230270799501056,0.5023547995958411,0.46476939012402185,0.2649924321693729,0.363073891098261,0.4389640506781413,0.3561123209924847,0.07545489506737661,0.5240955285366513,0.45886575956831616,0.4540618204230882,0.23345688017357275
ALLE,0.5093710514539117,1.0,0.1401139856106327,0.3892445218861794,0.3164841281086548,0.1852596639070424,0.2203059809103897,0.1512150672617081,0.03264115525251963,0.40267296560180726,0.3207410815514204,0.48185041690064767,0.4145444817887786,0.39661553245934267,0.4359332136726696,0.15287938319058114,0.616993221669055,0.388688874030011,0.4034709942574425,0.3200257216424923,0.3128182028762133,0.21534116036913237,0.6604945043061147,0.3966740514178069,0.30315286975912387,0.43203837321867894,0.4716490157432315,0.35345301316217376,0.24622482074456453,0.4083149550641171,0.14856065558050616,0.35635017885771086,0.45495886950163944,0.30907547670843055,0.47409124889725596,0.1442552219574068,0.29279603922636777,0.14583342873669233,0.2930687050389278,0.31756356003311403,0.1956829647040309,0.3804679831741276,0.24971823889637895,0.4522160880538054,0.33037657719578617,0.6061902920616977,0.1586537016367192,0.4379534992690572,0.3923455643756356,0.3406584414579972,0.45928060393232717,0.24900885508171783,0.21638612492355555,0.43810359790198894,0.5102003741229384,0.1569493372609817,0.40452790064112965,0.38670509782041224,0.38833408667011493,0.18034400868649908
ALNY,0.17408390009410626,0.1401139856106327,1.0,0.1731711774352676,0.20368788679264177,0.1904765302099559,0.22027315136078923,0.15174195618491645,0.024643379424950974,0.263792648216628,0.12243636401450798,0.2617272284239597,0.19883963554706743,0.09757964818322303,0.17255114383773673,0.11986860902651289,0.1834669333679379,0.1709309077303171,0.08174619270459303,0.19292685394659959,0.12795151482249,0.14007583955184116,0.21556622124145644,0.21043923335080908,0.2102814215870407,0.12170563020920422,0.2598290471880252,0.23033103467873992,0.17630600787819106,0.10959045726998112,-0.005351496730436549,0.2683394872109018,0.12763545269248908,0.2130737581899469,0.17496150168651844,0.10130579482631726,0.11983015517925968,0.1799080988529221,0.07501268849435012,0.1392238902165999,0.19945037097763146,0.22093071433700184,0.2545810885060205,0.24593705261412438,0.2099341407503358,0.2135906571079755,0.027297978811297637,0.27453399135738343,0.12471098030466057,0.19065979310954811,0.1310249205291163,0.10428261803548863,0.2072248673088892,0.11845484801898026,0.19990045863023365,0.18000550333871054,0.28788731414476604,0.16931078174423414,0.12521479382579925,0.04415266050557826
AVB,0.33617488670498186,0.3892445218861794,0.1731711774352676,1.0,0.3583046591158813,0.22780548029596995,0.18319752953311197,0.1794380271673444,0.10316354065121099,0.3652883562900042,0.4345889692609235,0.49418487373230396,0.47052553598205116,0.6655376930581774,0.40034459089148283,0.1512904380224601,0.5443952062579435,0.5864551327674812,0.39941201898734763,0.3656821268684601,0.32754446228536244,0.22410605091172872,0.5545238428172155,0.3408712808804973,0.22137575834387688,0.31686081597786575,0.43504703744968193,0.3456722320179749,0.2732600930775638,0.8633025839468285,0.07837533229990916,0.44055427773637323,0.41029151140378295,0.24421673710841618,0.46493245282448703,0.16527822388225605,0.4756297656431338,0.13678395644161132,0.3877409071608126,0.47316898508776817,0.0957959450163403,0.682000684319581,0.24909972830624352,0.3644788496381409,0.45656358514402023,0.4448899219999023,0.2866078510782126,0.4200977336234256,0.5200954531256443,0.34100347852762225,0.48801167186595085,0.3957412387110897,0.39438231894575987,0.4441744440494805,0.3021284551908098,0.19455362873905793,0.4129396808143981,0.45131159964759193,0.2553991427718049,0.22157133802919607
BR,0.10115605321610685,0.3164841281086548,0.20368788679264177,0.3583046591158813,1.0,0.15233383916200174,0.16819030528321663,0.12946189001623493,0.26255580738815026,0.14251301297616828,0.2524225062633564,0.2799150248325163,0.28970238630051354,0.2740253251366907,0.3693425992030934,0.20471587511687128,0.3562969675295236,0.2965006584269141,0.240071798616521,0.14503597927388992,0.15375884251497884,0.23092853425972704,0.3332617185380799,0.15471598648259285,0.07801591451704949,0.08811486692832722,0.34627265543896446,0.24747457235472323,0.2936402200966917,0.3526319026281117,0.18707788584779553,0.6640915099386024,0.31607714221839506,0.29491371979155195,0.2705566014213412,0.16071297657088868,0.2355230949591033,0.17372208562734998,0.5054550359606798,0.3190075934642561,-0.00596960200633025,0.4131252873844602,0.09043761558668502,0.24571746856077903,0.5060780322025674,0.33072898510484733,0.18497705866495562,0.3839377223344515,0.27940826408196,0.16381100406854152,0.32252993216061854,0.2529194084670756,0.22826864020839435,0.2750832488411473,0.23214321095674603,0.46840359098111467,0.21768074336836865,0.25414330966108195,0.21624036233894983,0.2534265221769346
BURL,0.3186683246037307,0.1852596639070424,0.1904765302099559,0.22780548029596995,0.15233383916200174,1.0,0.24560855801535797,0.1251557728588291,-0.1837498252766803,0.43468737487396203,-0.02244864762763428,0.4521122595381052,0.4200043933359678,0.1857994166019612,0.19974682041755468,0.2339465434901391,0.3876705574719164,0.23623181755976702,0.3479367164649077,0.38701475127140683,0.3299781455930283,0.16375846407065836,0.3356936405788127,0.34170231058941786,0.35801960801418076,0.3288941606090105,0.4257267373570308,0.3442864683532489,0.3231138632133678,0.1441877479812676,0.032360180011342415,0.3034633545281503,0.3651618450857006,0.15420343084772437,0.3819119706601318,-0.0346554278438433,0.1669729546313812,0.1185640546330891,0.15905034871393592,-0.014565491457583875,0.29860122697102404,0.2649234129098807,0.13779162441368958,0.3729804483199847,0.21372674597788907,0.3351390544677392,-0.06668602536937286,0.48263395674008486,0.2540963630839627,0.36262988861248735,0.3987654067209551,0.21857020321726786,0.3569599393223631,0.38820159026698337,0.3230335969120485,0.09852501384273,0.3878343794979311,0.426036640905425,0.3453923170391227,0.24211719166748938
BWXT,0.2434890371126365,0.2203059809103897,0.22027315136078923,0.18319752953311197,0.16819030528321663,0.24560855801535797,1.0,0.01832765492246404,-0.1235553736622788,0.5295654009981211,0.0102448614480118,0.4293886108130136,0.2742502113651669,0.15640434471614367,0.17227265697573277,0.1311124503794968,0.3144247448142436,0.1896284854640067,0.23207586606431463,0.39639500068783956,0.06551464794141382,-0.12133715348341585,0.2495420289705587,0.1924545726863358,0.5183392831206768,0.2723549666953913,0.3556930374085273,0.3363302607849268,0.3339829105981684,0.08389892461705879,0.09136493032086619,0.25694437300843637,0.4406766511765332,0.22282461074713805,0.24633193501534023,0.18848370348243867,0.21115762089151094,0.26421718549070794,0.06702218402705615,0.030680280045371412,0.6584276678773182,0.17688124864813512,0.06699465128862266,0.3798855733153619,0.04338960081821074,0.25982443620165063,-0.045351689660699246,0.3689760820827905,0.26740668966878073,0.19536659002769316,0.25197593495232257,0.29643680384756277,0.19968434000925028,0.2127070853646268,0.37827096725601234,0.10958952319997915,0.4766699841933691,0.2842206040207853,0.14266489235592272,0.11532127158554331
CALM,0.1305052173835139,0.1512150672617081,0.15174195618491645,0.1794380271673444,0.12946189001623493,0.1251557728588291,0.01832765492246404,1.0,0.03452769835323985,0.12024350895851106,0.13426384413802822,0.17328403325074343,0.11730985263622791,0.15020972090577453,0.1601113385305363,0.08900388715015888,0.2269889759339139,0.1910391773576315,0.19847686211699042,0.11280602853028067,0.1317430753496746,0.04585429100714353,0.2298517060529571,0.04869689142226287,0.03773125871662532,0.08084642589445716,0.10538732163137107,0.09443494605311191,0.10772545115738505,0.14784152169929335,0.10652005563990172,0.18375238772119643,0.14915326306757148,0.21558350986838604,0.15001640299012262,0.0580459323396682,0.10141240586298819,0.05158735227953725,0.10697185831771454,0.21139444823831177,0.08915931228569357,0.2493649151132673,0.08257804260138116,0.13923860849814357,0.13377704621351624,0.10319533735847077,0.0882625995458203,0.13986582632984215,0.10822318173053842,0.11311321701077572,0.1682730663988116,0.0715665007003652,0.11937265023861167,0.16466426543970683,0.10809931182868264,0.0535877313168064,0.3063796677805276,0.13604069168806807,0.09206285548075875,0.13583718474416603
CBOE,-0.09206528079102089,0.03264115525251963,0.024643379424950974,0.10316354065121099,0.26255580738815026,-0.1837498252766803,-0.1235553736622788,0.03452769835323985,1.0,-0.22577750665348897,0.1752289799062139,-0.15109531941800017,-0.1444901284764902,0.12298447027013588,0.13084211379722355,-0.14345914250637062,-0.020599792466088635,0.036890708806982454,-0.14043185509454637,-0.16788854528966973,-0.10198348373518992,-0.01991783862826833,-0.005041480728449976,-0.2069665038521522,-0.23347930986472498,-0.09858422351199123,-0.12455919167551577,-0.10033463178395793,0.012599752178681346,0.17975402364678603,0.284736001079863,0.13464160080615253,-0.16364712764396042,0.0745347733091155,-0.08131990796086404,0.2544091511468365,0.1491144298513873,0.07256665971391202,0.1033239344968777,0.30325059154134304,-0.15585429726371725,0.19099148753306883,-0.005696809466155845,-0.09867366401420402,0.150507731493166,-0.007986206109689309,0.3789540480165555,-0.09234463579242977,-0.060513313275291525,-0.10900889075493081,-0.1306200723393068,0.0133197856056026,-0.0041312009296814375,-0.09711098935557219,-0.006622121093954195,0.18309506401261774,-0.1236065446183498,-0.14242986938665977,-0.1087101007986697,-0.09530413468539446
CMI,0.5506197873789945,0.40267296560180726,0.263792648216628,0.3652883562900042,0.14251301297616828,0.43468737487396203,0.5295654009981211,0.12024350895851106,-0.22577750665348897,1.0,0.09025976067186588,0.701909806723413,0.5667903112144538,0.30307703891339194,0.2668200426430994,0.2577860855748962,0.5901900457818464,0.37003090497528746,0.4811956837435637,0.5409462950171163,0.39319036468916035,0.12634682096662447,0.573107250748477,0.4982482018199295,0.6176614849072845,0.5247726965816437,0.5810053726587345,0.5607080120264196,0.47728365170950016,0.2636111428181214,-0.08073100641891895,0.3762260540370298,0.5740316612245528,0.26162958797009367,0.5493731651871162,0.03809234034749845,0.25329678231618635,0.19020638186334562,0.1508988892179089,0.062218187767741254,0.5218407859226055,0.2976394724534541,0.28088609808240533,0.6327321116856868,0.2096767064335952,0.5383828678162272,0.04152229884198493,0.618142382151941,0.43680948187715885,0.4187125697215387,0.5200030873702244,0.3899694700097542,0.33890369290496736,0.49801540138019745,0.5063900350990873,0.04613503408448942,0.6793220462867294,0.5528849919401546,0.3905945636842985,0.20537635347591027
