Date,Adj Close,Close,High,Low,Open,Volume
,CHE,CHE,CHE,CHE,CHE,CHE
2025-01-02,524.90185546875,527.9600219726562,534.8400268554688,527.5499877929688,533.27001953125,84600
2025-01-03,531.9010620117188,535.0,536.9299926757812,527.260009765625,529.219970703125,72400
2025-01-06,524.4445190429688,527.5,538.2999877929688,526.7000122070312,533.1799926757812,56400
2025-01-07,524.79248046875,527.8499755859375,531.3300170898438,525.4400024414062,530.0,66100
2025-01-08,528.9382934570312,532.02001953125,535.0900268554688,523.760009765625,529.5,93800
2025-01-10,518.8172607421875,521.8400268554688,531.8400268554688,521.1500244140625,523.75,104900
2025-01-13,527.039306640625,530.1099853515625,531.6099853515625,520.1599731445312,521.72998046875,89200
2025-01-14,531.0062866210938,534.0999755859375,536.2100219726562,524.719970703125,527.52001953125,87000
2025-01-15,543.3642578125,546.530029296875,549.0,535.7999877929688,540.8300170898438,102700
2025-01-16,549.6875,552.8900146484375,556.8800048828125,544.530029296875,548.47998046875,71900
2025-01-17,551.5166625976562,554.72998046875,559.0,546.7999877929688,552.010009765625,79800
2025-01-21,555.980712890625,559.219970703125,566.3699951171875,555.3200073242188,555.9000244140625,89400
2025-01-22,547.947509765625,551.1400146484375,558.6199951171875,550.9000244140625,558.6199951171875,93500
2025-01-23,538.5125732421875,541.6500244140625,551.0700073242188,538.7000122070312,551.0700073242188,164000
2025-01-24,547.7785034179688,550.969970703125,553.7000122070312,536.2000122070312,539.27001953125,122300
2025-01-27,571.410888671875,574.739990234375,575.1500244140625,552.5599975585938,554.4400024414062,123300
2025-01-28,557.412353515625,560.6599731445312,577.2999877929688,549.2100219726562,571.52001953125,172200
2025-01-29,554.4795532226562,557.7100219726562,568.1599731445312,557.3400268554688,559.3599853515625,64200
2025-01-30,558.0884399414062,561.3400268554688,567.6699829101562,560.0900268554688,562.2100219726562,59100
2025-01-31,558.7446899414062,562.0,571.239990234375,558.7000122070312,559.8599853515625,109600
2025-02-03,551.984130859375,555.2000122070312,562.3699951171875,537.6199951171875,557.530029296875,88700
2025-02-04,554.439697265625,557.6699829101562,560.1699829101562,549.4400024414062,552.1400146484375,46300
2025-02-05,559.73876953125,563.0,567.469970703125,556.1400146484375,563.47998046875,86500
2025-02-06,550.6318969726562,553.8400268554688,567.9099731445312,551.8300170898438,561.9600219726562,133800
2025-02-07,547.0526733398438,550.239990234375,560.2899780273438,549.9400024414062,557.9099731445312,69700
2025-02-10,550.4131469726562,553.6199951171875,557.25,549.75,551.0800170898438,75300
2025-02-11,550.6618041992188,553.8699951171875,559.2000122070312,550.7999877929688,551.3599853515625,58200
2025-02-12,546.3170166015625,549.5,554.8400268554688,547.530029296875,550.9299926757812,55800
2025-02-13,557.3626098632812,560.6099853515625,561.1500244140625,549.1500244140625,551.1699829101562,76100
